tenure,MonthlyCharges,OnlineSecurity,TotalCharges,InternetService,TechSupport,Contract,Churn Probability
1,29.85,No,29.85,DSL,No,Month-to-month,0.7333292676551519
34,56.95,Yes,1889.5,DSL,No,One year,0.1737654486066658
2,53.85,Yes,108.15,DSL,No,Month-to-month,0.5714191141433801
45,42.3,Yes,1840.75,DSL,Yes,One year,0.13752560362076566
2,70.7,No,151.65,Fiber optic,No,Month-to-month,0.834388052098071
8,99.65,No,820.5,Fiber optic,No,Month-to-month,0.8275416096883074
22,89.1,No,1949.4,Fiber optic,No,Month-to-month,0.7169415518816071
10,29.75,Yes,301.9,DSL,No,Month-to-month,0.4629755188501276
28,104.8,No,3046.05,Fiber optic,Yes,Month-to-month,0.5439327590608175
62,56.15,Yes,3487.95,DSL,No,One year,0.15568987923327324
13,49.95,Yes,587.45,DSL,No,Month-to-month,0.4268486558404363
16,18.95,No internet service,326.8,No,No internet service,Two year,0.038449600297421976
58,100.35,No,5681.1,Fiber optic,No,One year,0.4187928864546196
49,103.7,No,5036.3,Fiber optic,No,Month-to-month,0.6709332879685367
25,105.5,Yes,2686.05,Fiber optic,Yes,Month-to-month,0.4015845356634634
69,113.25,Yes,7895.15,Fiber optic,Yes,Two year,0.1427695317413058
52,20.65,No internet service,1022.95,No,No internet service,One year,0.04398005794334807
71,106.7,Yes,7382.25,Fiber optic,No,Two year,0.18375154482772688
10,55.2,No,528.35,DSL,Yes,Month-to-month,0.45062464533343416
21,90.05,No,1862.9,Fiber optic,No,Month-to-month,0.718103882547932
1,39.65,No,39.65,DSL,No,Month-to-month,0.7333292676551519
12,19.8,No internet service,202.25,No,No internet service,One year,0.07874011416014462
1,20.15,No internet service,20.15,No,No internet service,Month-to-month,0.5790764495985117
58,59.9,No,3505.1,DSL,Yes,Two year,0.08244924933286901
49,59.6,Yes,2970.3,DSL,Yes,Month-to-month,0.23372125614257575
30,55.3,Yes,1530.6,DSL,No,Month-to-month,0.33584160056673956
47,99.35,No,4749.15,Fiber optic,No,Month-to-month,0.681667490026902
1,30.2,No,30.2,DSL,No,Month-to-month,0.7333292676551519
72,90.25,Yes,6369.45,DSL,Yes,Two year,0.030971981362239144
17,64.7,No,1093.1,DSL,No,Month-to-month,0.5289562693671173
71,96.35,Yes,6766.95,Fiber optic,Yes,Two year,0.10250739430510561
2,95.5,No,181.65,Fiber optic,No,Month-to-month,0.8390630174844426
27,66.15,Yes,1874.45,DSL,Yes,One year,0.13831363555874507
1,20.2,No internet service,20.2,No,No internet service,Month-to-month,0.5756516492442447
1,45.25,No,45.25,DSL,No,Month-to-month,0.7333292676551519
72,99.9,Yes,7251.7,Fiber optic,Yes,Two year,0.09553632971184327
5,69.7,No,316.9,Fiber optic,No,Month-to-month,0.8171392527801257
46,74.8,No,3548.3,Fiber optic,No,Month-to-month,0.6618783712244157
34,106.35,No,3549.25,Fiber optic,No,Month-to-month,0.685732874566836
11,97.85,No,1105.4,Fiber optic,No,Month-to-month,0.820291151008947
10,49.55,No,475.7,DSL,No,One year,0.3323530384212499
70,69.2,Yes,4872.35,DSL,No,Two year,0.08731507222117195
17,20.75,No internet service,418.25,No,No internet service,One year,0.0547610254936518
63,79.85,Yes,4861.45,DSL,Yes,Two year,0.04026435644314119
13,76.2,Yes,981.45,DSL,Yes,Month-to-month,0.35324872095261034
49,84.5,No,3906.7,Fiber optic,No,Month-to-month,0.6768390673910513
2,49.25,No,97.0,DSL,No,Month-to-month,0.7217077590090024
2,80.65,No,144.15,Fiber optic,No,Month-to-month,0.8379719567929342
52,79.75,Yes,4217.8,DSL,Yes,Two year,0.047084450974597604
69,64.15,Yes,4254.1,DSL,Yes,Two year,0.03816594487120497
43,90.25,No,3838.75,Fiber optic,No,Month-to-month,0.6833814544948212
15,99.1,Yes,1426.4,Fiber optic,No,Month-to-month,0.6409168851619157
25,69.5,Yes,1752.65,DSL,Yes,Month-to-month,0.2429570001127534
8,80.65,No,633.3,Fiber optic,No,Month-to-month,0.8262959786117928
60,74.85,Yes,4456.35,DSL,Yes,One year,0.12117341314618182
18,95.45,No,1752.55,Fiber optic,No,Month-to-month,0.7227074776799347
63,99.65,Yes,6311.2,Fiber optic,No,One year,0.3184148036193798
66,108.45,No,7076.35,Fiber optic,Yes,One year,0.3597060241430473
34,24.95,No internet service,894.3,No,No internet service,Two year,0.022327714410354724
72,107.5,No,7853.7,Fiber optic,Yes,Two year,0.17874320723964388
47,100.5,No,4707.1,Fiber optic,No,Month-to-month,0.6825394787344954
60,89.9,No,5450.7,Fiber optic,No,Month-to-month,0.6352355194753165
72,42.1,Yes,2962.0,DSL,No,Two year,0.0901464969843464
18,54.4,No,957.1,DSL,Yes,One year,0.20895973110562377
9,94.4,No,857.25,Fiber optic,No,Month-to-month,0.8246907679238092
3,75.3,No,244.1,DSL,Yes,Month-to-month,0.5227850588390112
47,78.9,No,3650.35,Fiber optic,No,One year,0.37238882287255803
31,79.2,No,2497.2,DSL,Yes,Two year,0.11212236863822933
50,20.15,No internet service,930.9,No,No internet service,Two year,0.015551863012728952
10,79.85,Yes,887.35,Fiber optic,No,Month-to-month,0.6007869854372042
1,49.05,No,49.05,DSL,Yes,Month-to-month,0.572601505714364
52,20.4,No internet service,1090.65,No,No internet service,One year,0.04349642514559904
64,111.6,Yes,7099.0,Fiber optic,Yes,Two year,0.16672379410296065
62,24.25,No internet service,1424.6,No,No internet service,Two year,0.01227984985329663
3,64.5,Yes,177.4,DSL,Yes,Month-to-month,0.4422626700152006
56,110.5,Yes,6139.5,Fiber optic,No,One year,0.343171679843538
46,55.65,No,2688.85,DSL,No,One year,0.24034793556095574
